campaign_id,campaign_type,targeted_customers,conversions,revenue_generated
CAMP001,Cross Sell,774,6,15460.95
CAMP002,Upsell,352,5,10488.24
CAMP003,Upsell,599,67,193449.98
CAMP004,Discount,594,98,282803.29
CAMP005,Upsell,695,137,219804.64
CAMP006,Product Promotion,195,25,41737.95
CAMP007,Product Promotion,331,34,45253.67
CAMP008,Cross Sell,613,59,103075.51
CAMP009,Cross Sell,138,10,11166.13
CAMP010,Upsell,398,91,58244.23
CAMP011,Upsell,708,79,173611.22
CAMP012,Cross Sell,488,102,77712.03
CAMP013,Cross Sell,272,64,182257.92
CAMP014,Reactivation,222,14,33009.74
CAMP015,Cross Sell,572,107,94894.2
CAMP016,Cross Sell,136,33,63890.47
CAMP017,Product Promotion,461,25,22493.51
CAMP018,Reactivation,872,121,159636.23
CAMP019,Upsell,990,120,274988.81
CAMP020,Reactivation,254,8,5577.41
CAMP021,Discount,165,12,19386.24
CAMP022,Upsell,440,93,137513.31
CAMP023,Discount,993,80,135983.36
CAMP024,Upsell,214,7,19073.56
CAMP025,Discount,832,82,218632.4
CAMP026,Cross Sell,808,159,393329.82
CAMP027,Upsell,677,15,36955.87
CAMP028,Upsell,227,49,73324.08
CAMP029,Reactivation,631,136,85786.61
CAMP030,Cross Sell,929,47,138306.43
CAMP031,Reactivation,969,39,40863.34
CAMP032,Discount,109,22,22792.19
CAMP033,Reactivation,223,39,66282.07
CAMP034,Reactivation,898,86,194974.47
CAMP035,Product Promotion,928,55,112341.35
CAMP036,Reactivation,156,19,33703.75
CAMP037,Reactivation,294,52,61031.47
CAMP038,Product Promotion,946,68,108973.82
CAMP039,Cross Sell,211,14,39609.36
CAMP040,Discount,478,106,237003.41
CAMP041,Cross Sell,664,136,281162.34
CAMP042,Discount,210,44,81522.74
CAMP043,Product Promotion,678,149,246768.51
CAMP044,Product Promotion,810,50,105267.98
CAMP045,Reactivation,995,218,371132.12
CAMP046,Cross Sell,736,156,133867.59
CAMP047,Upsell,340,78,203559.16
CAMP048,Reactivation,315,78,57357.87
CAMP049,Upsell,529,50,28903.55
CAMP050,Product Promotion,950,122,232347.19
