customer_id,age,location,signup_date,total_orders,total_spend,last_purchase_days
CUST0001,25,Delhi,2025-11-24,24,27865.42,58
CUST0002,24,Mumbai,2025-03-13,19,42481.22,8
CUST0003,31,Hyderabad,2025-02-17,17,60400.86,144
CUST0004,52,Kolkata,2025-04-12,8,45196.3,72
CUST0005,18,Bangalore,2026-02-19,23,42550.13,72
CUST0006,31,Chennai,2025-03-21,4,9728.21,25
CUST0007,40,Pune,2025-07-03,26,4823.32,118
CUST0008,25,Kolkata,2025-10-02,3,55428.04,161
CUST0009,41,Hyderabad,2025-11-13,23,7420.74,170
CUST0010,36,Mumbai,2025-04-27,28,23662.69,26
CUST0011,35,Noida,2025-07-14,21,83493.99,42
CUST0012,40,Hyderabad,2025-07-09,22,27064.29,175
CUST0013,22,Bangalore,2025-11-28,18,73048.12,42
CUST0014,42,Pune,2025-08-25,30,64179.98,143
CUST0015,38,Delhi,2025-04-23,8,82269.36,81
CUST0016,35,Mumbai,2025-07-25,7,91357.04,146
CUST0017,38,Hyderabad,2026-03-25,21,50173.51,165
CUST0018,27,Pune,2025-08-23,5,25039.44,144
CUST0019,34,Kolkata,2025-10-03,29,58561.53,93
CUST0020,26,Noida,2025-04-23,3,75700.32,29
CUST0021,28,Kolkata,2025-03-20,20,6821.01,98
CUST0022,47,Pune,2025-11-02,18,86147.58,3
CUST0023,25,Pune,2025-12-15,25,64275.7,29
CUST0024,45,Bangalore,2025-05-31,15,822.91,68
CUST0025,50,Bangalore,2026-05-13,17,91306.47,161
CUST0026,50,Hyderabad,2025-06-02,5,37704.43,42
CUST0027,51,Delhi,2025-10-04,20,32753.53,5
CUST0028,41,Pune,2025-02-27,8,6263.55,146
CUST0029,23,Mumbai,2026-04-30,24,48856.05,18
CUST0030,52,Bangalore,2026-05-16,5,66145.21,141
CUST0031,34,Kolkata,2025-03-26,7,92926.89,177
CUST0032,37,Kolkata,2025-04-13,22,65162.87,113
CUST0033,51,Noida,2026-04-06,4,25166.61,17
CUST0034,19,Hyderabad,2025-06-23,19,22411.63,19
CUST0035,21,Hyderabad,2025-12-29,3,90589.29,85
CUST0036,50,Hyderabad,2025-02-06,9,67063.29,55
CUST0037,26,Noida,2025-10-04,8,78569.63,105
CUST0038,24,Mumbai,2025-04-08,22,43389.59,109
CUST0039,47,Delhi,2025-07-30,22,65518.82,166
CUST0040,21,Kolkata,2025-02-20,24,34260.61,28
CUST0041,30,Hyderabad,2025-05-08,18,45137.05,109
CUST0042,35,Noida,2025-04-04,8,87511.35,20
CUST0043,53,Mumbai,2025-08-15,2,65388.42,139
CUST0044,18,Mumbai,2026-03-05,30,75479.77,61
CUST0045,44,Noida,2025-03-27,16,21767.86,103
CUST0046,21,Bangalore,2026-04-08,13,714.46,100
CUST0047,47,Pune,2025-05-16,14,69810.85,143
CUST0048,49,Bangalore,2025-12-05,7,30022.43,15
CUST0049,52,Delhi,2025-10-24,24,31703.68,13
CUST0050,48,Bangalore,2025-10-27,2,96097.5,21
CUST0051,29,Mumbai,2026-03-12,20,7262.11,61
CUST0052,25,Hyderabad,2025-07-26,19,59654.66,159
CUST0053,44,Chennai,2025-02-11,30,26446.19,172
CUST0054,38,Hyderabad,2026-01-02,9,39880.69,172
CUST0055,37,Noida,2025-11-27,11,92937.32,19
CUST0056,47,Mumbai,2025-01-05,3,53994.62,130
CUST0057,26,Chennai,2025-05-16,29,7344.74,63
CUST0058,36,Bangalore,2025-07-09,15,83457.62,78
CUST0059,51,Delhi,2025-11-10,22,81801.86,77
CUST0060,24,Bangalore,2026-04-23,9,11985.15,28
CUST0061,53,Bangalore,2026-01-16,9,28534.75,54
CUST0062,39,Hyderabad,2026-01-03,22,63606.68,68
CUST0063,49,Pune,2025-09-16,29,90861.83,14
CUST0064,45,Pune,2025-02-17,2,852.8,34
CUST0065,34,Bangalore,2025-11-23,24,44462.63,110
CUST0066,18,Mumbai,2025-10-15,3,94532.57,177
CUST0067,27,Delhi,2026-04-08,27,37236.99,142
CUST0068,45,Bangalore,2025-03-17,2,31171.71,11
CUST0069,40,Hyderabad,2026-04-06,22,25328.21,27
CUST0070,53,Kolkata,2025-07-01,20,75073.02,61
CUST0071,28,Bangalore,2026-03-19,29,41523.29,46
CUST0072,39,Kolkata,2026-01-13,26,67155.76,64
CUST0073,28,Mumbai,2025-05-17,13,87280.59,121
CUST0074,30,Noida,2025-04-24,12,30866.49,59
CUST0075,19,Hyderabad,2025-04-25,13,33162.06,18
CUST0076,35,Chennai,2026-05-11,21,51185.86,174
CUST0077,52,Chennai,2026-03-08,1,11976.5,67
CUST0078,55,Pune,2025-04-02,2,11286.05,112
CUST0079,38,Kolkata,2025-06-26,20,98431.47,30
CUST0080,54,Hyderabad,2025-07-17,9,4916.46,112
CUST0081,51,Hyderabad,2025-01-01,12,43414.09,171
CUST0082,39,Chennai,2026-04-17,22,84877.52,77
CUST0083,37,Kolkata,2025-09-17,11,40538.84,76
CUST0084,26,Hyderabad,2025-10-11,14,66660.48,98
CUST0085,29,Pune,2025-12-13,13,55019.75,1
CUST0086,36,Hyderabad,2025-06-05,14,78683.0,156
CUST0087,38,Noida,2025-12-02,15,44494.9,55
CUST0088,48,Bangalore,2025-09-19,22,8937.16,132
CUST0089,39,Mumbai,2025-12-06,27,95223.97,61
CUST0090,37,Hyderabad,2025-12-11,26,20313.43,7
CUST0091,33,Noida,2025-01-24,20,85048.9,19
CUST0092,44,Hyderabad,2025-08-22,23,69787.25,127
CUST0093,33,Bangalore,2025-07-24,21,68918.43,28
CUST0094,45,Hyderabad,2026-02-03,6,80508.93,179
CUST0095,47,Delhi,2025-09-23,18,25295.23,32
CUST0096,26,Noida,2025-08-22,22,53347.62,144
CUST0097,38,Noida,2025-11-01,20,81593.15,130
CUST0098,53,Noida,2025-08-07,29,16336.21,122
CUST0099,34,Hyderabad,2025-08-19,27,63947.31,134
CUST0100,33,Pune,2025-09-06,15,8209.59,74
CUST0101,35,Chennai,2025-05-01,11,89356.17,21
CUST0102,27,Hyderabad,2025-03-12,13,69548.01,55
CUST0103,44,Kolkata,2025-02-02,11,54489.81,107
CUST0104,31,Kolkata,2025-02-01,13,90531.43,150
CUST0105,19,Kolkata,2026-04-30,16,1086.66,91
CUST0106,42,Kolkata,2025-06-02,18,74877.81,140
CUST0107,32,Noida,2026-02-14,8,27657.06,125
CUST0108,42,Chennai,2025-01-15,22,68074.62,104
CUST0109,28,Noida,2026-01-06,30,13198.97,160
CUST0110,19,Kolkata,2025-10-01,19,56657.0,7
CUST0111,45,Bangalore,2025-02-12,28,46439.0,13
