transaction_id,customer_id,product_id,amount,payment_method,status,transaction_date
TXN00001,CUST0435,PROD020,8059.17,Wallet,Success,2026-04-21
TXN00002,CUST0109,PROD057,5597.26,UPI,Success,2026-01-26
TXN00003,CUST1500,PROD055,4039.85,Net Banking,Success,2026-02-18
TXN00004,CUST1217,PROD036,10685.34,Wallet,Success,2026-05-07
TXN00005,CUST0224,PROD088,1187.45,UPI,Success,2026-03-05
TXN00006,CUST0236,PROD007,17922.16,Debit Card,Success,2026-05-28
TXN00007,CUST0135,PROD069,2200.43,Wallet,Success,2026-02-27
TXN00008,CUST0803,PROD051,2205.82,Debit Card,Success,2026-07-07
TXN00009,CUST0422,PROD022,15757.41,Debit Card,Failed,2026-03-30
TXN00010,CUST0590,PROD094,261.52,Wallet,Failed,2026-02-17
TXN00011,CUST0977,PROD095,6245.42,Credit Card,Success,2026-06-26
TXN00012,CUST0646,PROD088,1575.2,Debit Card,Success,2026-02-17
TXN00013,CUST0291,PROD002,13387.42,Debit Card,Success,2026-04-20
TXN00014,CUST0364,PROD034,17648.9,UPI,Failed,2026-02-13
TXN00015,CUST0722,PROD061,11746.55,Credit Card,Success,2026-05-06
TXN00016,CUST0225,PROD006,16414.74,Debit Card,Success,2026-05-26
TXN00017,CUST1076,PROD065,3512.63,UPI,Success,2026-02-07
TXN00018,CUST0624,PROD095,6846.41,Debit Card,Failed,2026-05-06
TXN00019,CUST0528,PROD085,9832.57,Net Banking,Success,2026-04-04
TXN00020,CUST1696,PROD046,6162.45,Wallet,Failed,2026-03-27
TXN00021,CUST0992,PROD015,5544.76,UPI,Success,2026-05-13
TXN00022,CUST0841,PROD029,13255.46,Debit Card,Success,2026-02-06
TXN00023,CUST0064,PROD032,11636.17,Net Banking,Success,2026-06-28
TXN00024,CUST0423,PROD096,1967.62,UPI,Success,2026-04-07
TXN00025,CUST1797,PROD081,13640.27,Net Banking,Failed,2026-08-19
TXN00026,CUST0359,PROD034,18224.48,Debit Card,Success,2026-03-31
TXN00027,CUST1207,PROD054,18916.28,Debit Card,Success,2026-03-12
TXN00028,CUST0085,PROD075,10497.54,Wallet,Success,2026-03-29
TXN00029,CUST0888,PROD059,11419.92,Debit Card,Success,2026-07-22
TXN00030,CUST0226,PROD002,10078.75,Credit Card,Success,2026-06-25
TXN00031,CUST1395,PROD020,10559.09,Wallet,Failed,2026-03-16
TXN00032,CUST1361,PROD021,6212.18,UPI,Success,2026-03-15
TXN00033,CUST0032,PROD059,1010.87,Wallet,Success,2026-03-14
TXN00034,CUST0109,PROD063,6255.27,Debit Card,Success,2026-04-21
TXN00035,CUST0103,PROD033,2926.83,Debit Card,Failed,2026-08-13
TXN00036,CUST1363,PROD099,11302.83,Debit Card,Success,2026-01-23
TXN00037,CUST1502,PROD026,8754.61,Debit Card,Success,2026-01-21
TXN00038,CUST0066,PROD061,18672.11,Net Banking,Success,2026-03-05
TXN00039,CUST0818,PROD013,17882.07,Wallet,Success,2026-03-19
TXN00040,CUST0355,PROD073,8829.16,Debit Card,Failed,2026-08-13
TXN00041,CUST0286,PROD088,15399.68,Credit Card,Success,2026-03-06
TXN00042,CUST1136,PROD026,6161.03,Debit Card,Failed,2026-01-22
TXN00043,CUST1899,PROD081,9330.86,Net Banking,Success,2026-02-16
TXN00044,CUST0197,PROD018,10626.11,Debit Card,Failed,2026-06-27
TXN00045,CUST1915,PROD088,14309.45,Debit Card,Success,2026-04-30
TXN00046,CUST0956,PROD054,19236.65,UPI,Failed,2026-04-29
TXN00047,CUST0055,PROD099,8534.19,Credit Card,Failed,2026-07-13
TXN00048,CUST1858,PROD039,15775.32,Wallet,Success,2026-05-29
TXN00049,CUST0261,PROD080,10956.74,Debit Card,Success,2026-05-25
TXN00050,CUST1547,PROD051,2693.53,UPI,Success,2026-06-21
TXN00051,CUST1654,PROD098,17523.24,UPI,Success,2026-04-28
TXN00052,CUST0113,PROD035,16631.91,UPI,Success,2026-06-16
TXN00053,CUST1218,PROD013,16474.41,Net Banking,Success,2026-05-25
TXN00054,CUST1771,PROD008,2604.57,Wallet,Success,2026-05-30
TXN00055,CUST1437,PROD027,10422.03,Net Banking,Success,2026-05-24
TXN00056,CUST0458,PROD087,12865.43,Debit Card,Success,2026-02-09
TXN00057,CUST1473,PROD001,16151.21,Credit Card,Success,2026-06-09
TXN00058,CUST0138,PROD001,3229.84,UPI,Failed,2026-08-14
TXN00059,CUST0199,PROD032,4245.01,UPI,Failed,2026-05-02
TXN00060,CUST0909,PROD051,1301.93,Debit Card,Success,2026-02-01
TXN00061,CUST0991,PROD024,16441.36,Wallet,Success,2026-08-04
TXN00062,CUST1683,PROD079,13690.14,Wallet,Success,2026-08-08
TXN00063,CUST0886,PROD019,12796.7,Credit Card,Success,2026-02-17
TXN00064,CUST0350,PROD066,14884.96,Credit Card,Success,2026-05-20
TXN00065,CUST0984,PROD038,5931.09,Wallet,Success,2026-01-26
TXN00066,CUST0753,PROD086,5648.59,UPI,Success,2026-04-09
TXN00067,CUST0854,PROD055,3133.7,Net Banking,Success,2026-03-14
TXN00068,CUST1156,PROD050,418.19,UPI,Failed,2026-03-19
TXN00069,CUST0911,PROD006,18180.55,Credit Card,Success,2026-04-01
TXN00070,CUST1808,PROD093,9275.33,Credit Card,Success,2026-01-03
TXN00071,CUST1026,PROD065,4373.45,Wallet,Success,2026-06-30
TXN00072,CUST1051,PROD009,3655.04,Debit Card,Failed,2026-02-08
TXN00073,CUST0695,PROD059,14360.61,Credit Card,Success,2026-07-21
TXN00074,CUST1608,PROD098,13237.19,UPI,Success,2026-04-11
TXN00075,CUST0772,PROD061,12195.67,Wallet,Failed,2026-02-16
TXN00076,CUST1589,PROD085,10603.59,Debit Card,Failed,2026-02-03
TXN00077,CUST1957,PROD075,7092.29,Net Banking,Success,2026-06-08
TXN00078,CUST0093,PROD004,17070.22,Credit Card,Success,2026-02-10
TXN00079,CUST1363,PROD014,10088.79,Net Banking,Success,2026-06-23
TXN00080,CUST1557,PROD030,19630.3,Credit Card,Success,2026-07-26
TXN00081,CUST1843,PROD023,14617.63,Net Banking,Success,2026-04-09
TXN00082,CUST0127,PROD079,5159.58,UPI,Success,2026-01-10
TXN00083,CUST1564,PROD048,12209.36,UPI,Success,2026-08-04
TXN00084,CUST0658,PROD014,14034.77,Credit Card,Failed,2026-04-07
TXN00085,CUST1140,PROD026,4075.22,Net Banking,Success,2026-05-06
TXN00086,CUST0462,PROD026,14894.65,Wallet,Success,2026-04-22
TXN00087,CUST0177,PROD075,680.01,UPI,Success,2026-06-21
TXN00088,CUST0069,PROD018,17887.16,Net Banking,Failed,2026-04-03
TXN00089,CUST1120,PROD010,6946.08,Wallet,Success,2026-06-24
TXN00090,CUST0390,PROD027,11493.33,Wallet,Success,2026-05-02
TXN00091,CUST0731,PROD080,18015.16,Credit Card,Success,2026-08-07
TXN00092,CUST0899,PROD055,12584.32,UPI,Failed,2026-08-12
TXN00093,CUST0161,PROD017,15691.27,UPI,Success,2026-03-18
TXN00094,CUST1022,PROD030,1219.28,Debit Card,Success,2026-05-19
TXN00095,CUST0459,PROD038,18461.01,Net Banking,Success,2026-03-06
TXN00096,CUST0140,PROD021,19368.67,Wallet,Failed,2026-01-20
TXN00097,CUST0495,PROD067,18649.82,Debit Card,Success,2026-05-09
TXN00098,CUST1267,PROD008,11009.64,UPI,Failed,2026-08-17
TXN00099,CUST0965,PROD034,13133.99,Debit Card,Success,2026-01-09
TXN00100,CUST0535,PROD026,6823.92,UPI,Success,2026-07-15
TXN00101,CUST0419,PROD071,16371.9,UPI,Success,2026-03-26
TXN00102,CUST1011,PROD010,16152.11,Wallet,Success,2026-05-25
TXN00103,CUST0709,PROD010,19008.17,Wallet,Success,2026-06-03
TXN00104,CUST1818,PROD071,9679.68,Debit Card,Success,2026-02-03
TXN00105,CUST0214,PROD005,10032.62,Debit Card,Success,2026-02-27
TXN00106,CUST0979,PROD039,15674.53,Credit Card,Success,2026-08-13
TXN00107,CUST1908,PROD008,721.81,Credit Card,Failed,2026-07-20
TXN00108,CUST1246,PROD049,13702.44,UPI,Failed,2026-07-08
TXN00109,CUST0988,PROD007,7865.07,Credit Card,Success,2026-04-07
TXN00110,CUST1437,PROD055,11080.99,Net Banking,Success,2026-01-30
TXN00111,CUST1838,PROD079,19654.18,Debit Card,Success,2026-04-05
TXN00112,CUST0703,PROD056,18377.76,Credit Card,Success,2026-03-02
TXN00113,CUST1206,PROD002,4697.09,Wallet,Failed,2026-07-11
TXN00114,CUST0094,PROD002,17490.47,UPI,Success,2026-03-05
TXN00115,CUST0117,PROD017,8883.41,UPI,Success,2026-03-14
TXN00116,CUST0717,PROD078,13173.14,Debit Card,Success,2026-03-04
TXN00117,CUST1242,PROD051,9678.29,UPI,Success,2026-02-01
TXN00118,CUST0513,PROD070,4276.05,Debit Card,Success,2026-06-30
TXN00119,CUST0909,PROD092,6193.83,Wallet,Success,2026-04-04
TXN00120,CUST1780,PROD084,5035.27,Debit Card,Success,2026-08-17
TXN00121,CUST1430,PROD070,10168.22,Debit Card,Success,2026-01-14
TXN00122,CUST1445,PROD080,9826.91,Credit Card,Success,2026-01-21
TXN00123,CUST1724,PROD067,4764.61,Wallet,Success,2026-07-09
TXN00124,CUST0252,PROD048,14553.23,Credit Card,Success,2026-07-21
TXN00125,CUST0482,PROD090,8917.49,Net Banking,Success,2026-07-15
TXN00126,CUST0044,PROD064,16759.24,Debit Card,Failed,2026-03-11
TXN00127,CUST0787,PROD039,16578.14,UPI,Success,2026-01-22
TXN00128,CUST1751,PROD079,7801.94,Net Banking,Success,2026-01-05
TXN00129,CUST0910,PROD006,4644.08,Credit Card,Success,2026-04-08
TXN00130,CUST1091,PROD007,13275.97,Wallet,Success,2026-01-09
TXN00131,CUST1920,PROD004,18219.07,Debit Card,Success,2026-07-13
TXN00132,CUST1660,PROD097,11900.98,UPI,Success,2026-07-13
TXN00133,CUST1487,PROD080,8794.71,UPI,Success,2026-04-20
TXN00134,CUST1134,PROD050,19058.98,Debit Card,Failed,2026-06-23
TXN00135,CUST0950,PROD055,11537.53,Wallet,Success,2026-05-26
TXN00136,CUST0333,PROD049,9453.18,Credit Card,Success,2026-03-02
TXN00137,CUST0575,PROD088,19029.15,Credit Card,Failed,2026-01-22
TXN00138,CUST0606,PROD044,11507.44,Wallet,Success,2026-01-10
TXN00139,CUST0741,PROD035,13252.75,Wallet,Success,2026-07-20
TXN00140,CUST0255,PROD040,11455.13,Debit Card,Success,2026-03-24
TXN00141,CUST0909,PROD060,541.88,Net Banking,Success,2026-01-03
TXN00142,CUST1979,PROD046,9708.12,Wallet,Success,2026-08-05
TXN00143,CUST0837,PROD008,11675.49,Debit Card,Failed,2026-01-21
TXN00144,CUST1130,PROD041,19075.21,Credit Card,Success,2026-04-23
TXN00145,CUST1569,PROD036,5338.91,Credit Card,Success,2026-05-07
TXN00146,CUST1291,PROD023,3108.66,UPI,Success,2026-06-08
TXN00147,CUST0235,PROD084,962.34,Wallet,Success,2026-06-25
TXN00148,CUST1188,PROD041,1030.72,Credit Card,Success,2026-07-03
TXN00149,CUST1950,PROD092,19841.03,UPI,Success,2026-03-07
TXN00150,CUST1107,PROD092,1085.71,Debit Card,Success,2026-03-02
TXN00151,CUST0159,PROD065,8987.49,UPI,Success,2026-05-11
TXN00152,CUST0418,PROD042,11493.24,Net Banking,Success,2026-08-01
TXN00153,CUST1315,PROD055,17541.89,UPI,Success,2026-02-06
TXN00154,CUST1244,PROD047,6832.72,Debit Card,Success,2026-04-15
TXN00155,CUST1931,PROD038,12513.94,Debit Card,Success,2026-02-11
TXN00156,CUST0596,PROD020,18255.08,UPI,Failed,2026-01-07
TXN00157,CUST0434,PROD041,10313.76,Wallet,Failed,2026-07-19
TXN00158,CUST1460,PROD045,18810.81,Wallet,Success,2026-04-07
TXN00159,CUST1346,PROD093,3171.48,UPI,Success,2026-07-15
TXN00160,CUST1964,PROD029,11394.97,Wallet,Success,2026-05-28
TXN00161,CUST1104,PROD094,2600.6,Wallet,Success,2026-08-13
TXN00162,CUST1244,PROD061,13252.12,Net Banking,Success,2026-05-14
TXN00163,CUST0552,PROD025,16752.98,Credit Card,Success,2026-03-17
TXN00164,CUST0498,PROD099,19554.0,Net Banking,Success,2026-03-01
TXN00165,CUST1533,PROD015,13922.85,Net Banking,Success,2026-04-24
TXN00166,CUST0164,PROD046,11297.05,Debit Card,Success,2026-01-20
TXN00167,CUST1240,PROD030,9089.57,Credit Card,Failed,2026-04-18
TXN00168,CUST1696,PROD017,18529.2,Net Banking,Failed,2026-03-04
TXN00169,CUST1364,PROD018,12189.8,Debit Card,Success,2026-07-23
TXN00170,CUST0643,PROD016,1813.82,Wallet,Success,2026-04-18
TXN00171,CUST1180,PROD064,12726.07,Credit Card,Success,2026-07-17
TXN00172,CUST1795,PROD059,507.14,Net Banking,Success,2026-01-31
TXN00173,CUST1568,PROD071,14285.36,UPI,Success,2026-05-01
TXN00174,CUST1781,PROD005,16710.4,Credit Card,Success,2026-01-07
TXN00175,CUST0272,PROD066,17364.22,Net Banking,Success,2026-04-10
TXN00176,CUST0262,PROD052,13999.19,Debit Card,Success,2026-03-03
TXN00177,CUST0690,PROD044,11911.26,UPI,Success,2026-06-07
TXN00178,CUST0152,PROD095,18430.33,Net Banking,Success,2026-04-25
TXN00179,CUST1517,PROD056,5927.96,Credit Card,Success,2026-05-03
TXN00180,CUST1483,PROD099,11873.25,Wallet,Success,2026-07-29
TXN00181,CUST0312,PROD001,11952.36,Net Banking,Success,2026-04-05
TXN00182,CUST0657,PROD057,3699.1,Wallet,Success,2026-07-04
TXN00183,CUST1935,PROD099,2118.59,Net Banking,Success,2026-03-18
TXN00184,CUST0099,PROD073,10450.02,Wallet,Failed,2026-05-15
TXN00185,CUST1729,PROD055,5848.09,Debit Card,Success,2026-04-09
TXN00186,CUST1953,PROD019,1030.3,Credit Card,Success,2026-07-08
TXN00187,CUST1064,PROD036,11587.73,Debit Card,Success,2026-06-07
TXN00188,CUST0712,PROD037,3478.73,Debit Card,Success,2026-03-15
TXN00189,CUST0899,PROD029,17729.91,Debit Card,Failed,2026-03-15
TXN00190,CUST1544,PROD014,18505.41,Debit Card,Success,2026-06-20
TXN00191,CUST0197,PROD027,11132.84,Credit Card,Success,2026-05-11
TXN00192,CUST1226,PROD006,19205.16,Wallet,Success,2026-05-19
TXN00193,CUST0014,PROD063,16683.59,Debit Card,Success,2026-01-07
TXN00194,CUST0578,PROD074,8644.75,Wallet,Success,2026-04-24
TXN00195,CUST1702,PROD059,6039.84,UPI,Success,2026-01-29
TXN00196,CUST1821,PROD056,9966.46,Credit Card,Success,2026-01-23
TXN00197,CUST1499,PROD086,2505.96,UPI,Success,2026-04-01
TXN00198,CUST1490,PROD010,6676.89,Debit Card,Success,2026-05-10
